Event_Duration_Hours,Event_Type,Event_Complexity,Number_of_Attendees,Venue_Size,Resources_Available,Team_Size,External_Dependencies,Budget,Historical_Preparation_Time_Hours,Preparation_Time_Hours
2,Hackathon,Medium,1211,Large,High,36,No,Low,360,353
17,Workshop,Medium,664,Small,High,17,Yes,Medium,83,190
14,Workshop,Medium,1395,Medium,High,28,Yes,Low,447,520
13,Workshop,Low,769,Medium,Medium,28,Yes,Medium,378,405
9,Workshop,Medium,648,Small,Medium,22,Yes,Medium,235,266
15,Hackathon,Low,1808,Large,Low,38,No,High,316,437
22,Conference,Medium,1073,Large,Medium,7,Yes,Medium,317,466
15,Hackathon,Medium,933,Medium,Low,15,Yes,Low,463,500
24,Hackathon,Medium,425,Small,Medium,32,Yes,Medium,357,392
11,Hackathon,High,1388,Small,Medium,11,Yes,Low,485,550
16,Conference,High,264,Medium,Medium,24,No,Medium,324,314
17,Workshop,High,1176,Small,Medium,3,No,Low,22,183
4,Workshop,Medium,1785,Medium,High,30,No,Low,434,490
1,Workshop,Medium,1773,Medium,Medium,6,Yes,Medium,21,181
8,Conference,Medium,1886,Medium,High,2,Yes,Medium,59,283
17,Workshop,High,719,Medium,High,14,Yes,Medium,497,530
3,Conference,Medium,586,Medium,Medium,41,No,Medium,322,260
20,Workshop,High,909,Small,Medium,18,No,Medium,443,498
15,Workshop,High,20,Small,Low,44,No,Medium,258,206
15,Hackathon,Medium,1653,Medium,High,31,Yes,Medium,128,302
24,Conference,Low,35,Medium,Medium,13,Yes,Low,66,158
22,Hackathon,Low,966,Medium,High,26,Yes,Medium,191,315
14,Hackathon,High,430,Medium,Medium,44,No,Medium,459,394
23,Hackathon,Low,1696,Large,High,12,No,Low,273,474
14,Conference,High,1254,Small,High,18,No,Low,115,259
24,Conference,Medium,1886,Small,Medium,9,No,Low,200,436
2,Workshop,Medium,505,Small,Medium,49,Yes,Medium,146,75
13,Hackathon,High,1270,Medium,Medium,21,Yes,Medium,197,290
14,Workshop,Medium,246,Medium,Medium,48,Yes,Medium,129,95
24,Hackathon,Medium,1018,Large,Medium,49,Yes,Medium,251,331
19,Conference,Medium,228,Medium,High,40,Yes,High,328,305
7,Conference,Medium,1520,Large,Medium,43,No,Low,81,166
3,Conference,Medium,1969,Large,High,24,No,Low,252,367
15,Hackathon,Low,470,Small,High,34,Yes,Medium,140,147
23,Conference,High,672,Medium,Medium,8,Yes,Medium,466,535
14,Hackathon,High,644,Medium,High,44,Yes,Medium,278,262
11,Workshop,Medium,1177,Small,Medium,33,No,Medium,402,422
15,Hackathon,Medium,999,Medium,High,23,Yes,High,488,525
13,Workshop,Medium,198,Medium,Medium,13,Yes,Medium,482,436
18,Hackathon,Medium,264,Small,Medium,49,No,Low,61,61
6,Workshop,High,77,Medium,Medium,14,Yes,Medium,71,46
3,Conference,Low,625,Medium,Medium,14,Yes,Low,128,149
19,Workshop,Low,345,Small,Medium,16,No,Medium,374,386
15,Conference,Medium,680,Medium,Medium,49,No,Low,273,264
23,Conference,Medium,830,Small,Medium,38,No,Medium,248,311
5,Workshop,Medium,883,Medium,High,39,Yes,Medium,360,324
10,Hackathon,Medium,1442,Small,Medium,26,Yes,High,390,453
7,Hackathon,Medium,309,Large,Medium,26,No,Medium,264,242
17,Hackathon,Medium,1941,Medium,Medium,1,Yes,Medium,182,428
7,Hackathon,Low,1635,Small,High,32,No,Low,318,371
22,Hackathon,Medium,366,Medium,High,15,No,High,246,301
12,Conference,Low,265,Medium,Medium,21,No,Medium,328,307
17,Hackathon,Low,1017,Medium,Low,18,Yes,Low,104,225
13,Conference,Medium,362,Medium,Medium,30,Yes,High,346,288
20,Conference,Low,1765,Medium,Medium,13,Yes,Medium,66,317
4,Conference,Low,1554,Small,High,24,No,Medium,447,492
10,Workshop,Low,533,Small,Medium,30,Yes,Medium,412,378
3,Workshop,High,1870,Medium,High,2,Yes,Low,76,253
9,Conference,High,959,Medium,Medium,19,Yes,High,55,151
13,Workshop,Medium,765,Small,High,47,Yes,Medium,103,123
18,Hackathon,High,1727,Large,Low,44,Yes,Low,147,294
15,Hackathon,Medium,293,Small,High,47,Yes,High,378,303
4,Conference,Medium,1345,Medium,High,25,No,Medium,102,201
15,Hackathon,Low,108,Small,High,50,Yes,Low,241,163
22,Conference,Medium,206,Small,Low,14,Yes,Low,411,444
2,Conference,Medium,491,Large,Low,6,No,Medium,405,371
15,Hackathon,Medium,887,Small,Medium,12,No,Low,58,181
8,Workshop,Medium,1259,Medium,Low,20,Yes,High,32,153
8,Hackathon,Medium,1878,Small,Low,23,Yes,Medium,71,246
17,Hackathon,Medium,624,Medium,Medium,30,No,Medium,276,322
12,Conference,High,627,Large,Medium,30,Yes,Medium,338,336
19,Conference,Medium,1398,Small,Medium,38,Yes,Medium,127,251
10,Conference,Medium,377,Large,Low,30,Yes,Medium,449,387
9,Conference,Medium,579,Medium,Low,41,Yes,Medium,97,117
5,Workshop,Medium,599,Medium,Medium,30,Yes,High,98,117
6,Workshop,Medium,1108,Medium,Medium,36,No,Medium,64,129
20,Workshop,Low,1075,Large,Low,49,No,Medium,162,247
2,Conference,Medium,431,Small,Medium,34,Yes,Low,248,190
24,Conference,Low,845,Small,High,16,Yes,Medium,274,403
13,Conference,Medium,1214,Large,High,24,No,Medium,277,355
6,Workshop,Medium,554,Medium,High,14,Yes,Medium,404,367
5,Conference,Medium,80,Small,High,26,Yes,Low,122,79
1,Hackathon,Low,1601,Medium,Medium,8,No,High,175,281
21,Hackathon,Medium,1138,Medium,Medium,14,No,Medium,165,312
22,Conference,Low,1233,Medium,Medium,31,Yes,Medium,17,178
21,Hackathon,High,1134,Small,Medium,2,No,Medium,211,408
6,Hackathon,High,777,Medium,Medium,48,Yes,Medium,226,194
6,Workshop,High,316,Small,Medium,4,Yes,Medium,440,409
23,Conference,Medium,1619,Medium,Medium,1,Yes,Medium,301,503
16,Conference,Medium,1716,Large,Low,20,No,Low,390,505
4,Workshop,Low,386,Medium,High,14,No,Medium,59,70
11,Hackathon,Medium,664,Small,Low,40,No,Low,116,149
24,Hackathon,Medium,687,Small,Medium,25,Yes,Medium,18,156
23,Conference,Medium,408,Medium,Low,25,Yes,Low,242,305
9,Hackathon,High,1806,Medium,Medium,3,Yes,High,197,385
23,Workshop,Low,230,Small,Low,5,Yes,Medium,465,494
3,Workshop,High,1628,Medium,High,38,Yes,Medium,332,381
19,Conference,Medium,191,Small,Medium,26,No,Medium,318,310
8,Workshop,Medium,316,Small,Medium,40,No,High,347,283
5,Workshop,Low,531,Small,Medium,38,Yes,Low,119,102
4,Conference,Low,1429,Small,Medium,38,Yes,Medium,492,463
24,Workshop,Medium,1023,Small,High,4,Yes,Medium,154,330
6,Workshop,Medium,13,Medium,Medium,7,No,Low,237,189
2,Workshop,Low,872,Large,High,30,No,Low,318,303
20,Hackathon,Medium,1947,Medium,High,30,No,Low,421,571
11,Conference,High,857,Small,High,19,Yes,Low,123,179
4,Conference,High,813,Small,Medium,39,Yes,Medium,72,85
15,Conference,High,1314,Small,Medium,35,No,Low,408,457
6,Hackathon,Medium,224,Small,Medium,40,No,Medium,284,185
22,Hackathon,Medium,981,Medium,Medium,33,Yes,Low,133,265
17,Conference,Medium,1643,Medium,High,33,Yes,Low,95,260
24,Hackathon,Medium,1453,Small,High,14,Yes,High,79,298
6,Conference,Low,110,Small,High,38,No,Medium,56,10
19,Hackathon,Low,972,Small,High,10,No,Low,208,323
2,Workshop,Medium,1554,Small,Low,28,No,Medium,373,395
15,Workshop,Low,582,Medium,Low,14,Yes,Low,441,471
11,Conference,Medium,1342,Small,Medium,36,Yes,Low,210,280
8,Hackathon,Low,667,Medium,High,38,Yes,Low,285,259
19,Hackathon,Low,948,Medium,High,16,No,High,46,174
13,Workshop,Medium,1964,Large,Medium,21,Yes,Medium,212,376
12,Workshop,Medium,1543,Large,High,28,No,Medium,139,276
5,Hackathon,Medium,1096,Medium,High,33,Yes,High,457,438
6,Hackathon,Low,1666,Small,High,6,No,High,479,585
22,Hackathon,Low,235,Medium,High,41,No,Medium,301,306
4,Hackathon,Medium,114,Medium,Medium,15,Yes,Medium,398,317
19,Hackathon,Medium,781,Small,Medium,44,No,Medium,73,148
20,Hackathon,Medium,1894,Medium,Medium,3,Yes,Low,272,498
1,Conference,Medium,1458,Large,Medium,43,Yes,Medium,463,456
20,Hackathon,High,1288,Medium,Medium,47,Yes,Medium,129,249
17,Workshop,Medium,438,Small,Low,35,No,High,287,290
12,Conference,Medium,443,Small,High,14,No,Medium,211,247
15,Hackathon,Medium,1240,Medium,Medium,2,Yes,Medium,55,253
1,Workshop,Medium,1061,Small,High,29,No,Medium,177,200
14,Conference,Medium,691,Medium,Medium,4,No,Low,454,510
6,Workshop,Medium,1369,Medium,Medium,26,No,Medium,119,188
5,Hackathon,Medium,597,Small,Medium,12,Yes,Medium,55,109
11,Hackathon,Low,1661,Large,Low,2,Yes,Medium,221,389
4,Hackathon,Low,1102,Medium,Medium,17,No,Medium,37,143
13,Hackathon,Medium,875,Small,Medium,35,Yes,Low,96,175
11,Conference,High,755,Medium,Low,10,Yes,Medium,300,351
3,Conference,Low,1546,Medium,Medium,48,No,Medium,394,404
1,Workshop,High,1200,Medium,Medium,22,Yes,Medium,166,232
6,Hackathon,Medium,873,Large,High,41,No,Medium,274,255
18,Workshop,High,1763,Medium,Low,43,Yes,Low,274,424
24,Conference,High,1818,Large,Medium,21,No,Low,31,284
10,Hackathon,Medium,377,Medium,High,15,Yes,Medium,265,268
5,Hackathon,Low,260,Medium,Medium,35,Yes,Medium,200,150
23,Conference,Low,868,Large,High,48,Yes,Medium,459,469
10,Conference,Low,865,Medium,High,21,No,High,473,474
12,Conference,Medium,1964,Small,High,21,No,Low,241,421
2,Conference,Low,1719,Medium,Low,21,Yes,Low,195,296
13,Conference,Medium,1203,Medium,High,44,Yes,Medium,335,348
8,Hackathon,Medium,1791,Small,High,32,No,Medium,192,312
2,Conference,High,1968,Large,Medium,5,Yes,Medium,406,515
20,Hackathon,Low,1123,Small,Medium,39,No,High,490,535
1,Hackathon,Low,570,Small,Medium,9,Yes,High,412,381
5,Conference,Low,1479,Large,High,18,No,Low,472,529
9,Conference,High,303,Medium,Medium,21,No,High,426,383
17,Hackathon,Medium,928,Small,High,8,No,Low,211,342
9,Conference,Low,1183,Medium,Low,44,No,Medium,74,128
11,Conference,Low,1165,Medium,High,34,Yes,Medium,453,474
15,Conference,Low,442,Small,Medium,10,Yes,Medium,405,443
24,Workshop,Low,68,Large,Medium,41,No,Low,52,80
6,Hackathon,High,978,Medium,Medium,24,Yes,Medium,230,282
23,Workshop,Medium,845,Medium,Low,40,No,Medium,26,135
3,Conference,Medium,208,Medium,Low,24,No,Low,333,246
17,Workshop,High,224,Medium,Medium,32,Yes,Low,294,282
5,Conference,Low,907,Small,Medium,33,Yes,Medium,192,210
12,Workshop,Medium,1594,Small,High,38,Yes,Medium,400,473
18,Conference,High,481,Medium,High,44,Yes,Medium,53,83
14,Workshop,Medium,1777,Large,Medium,49,Yes,Low,470,530
21,Workshop,Medium,256,Small,Low,34,Yes,High,398,374
24,Workshop,Low,391,Medium,Medium,11,Yes,Low,197,280
11,Hackathon,Low,1000,Large,High,31,Yes,High,399,403
9,Workshop,Low,1272,Small,Medium,18,Yes,Medium,491,521
2,Hackathon,Medium,936,Small,Low,23,Yes,Medium,272,280
12,Conference,Medium,1400,Small,Medium,22,Yes,High,183,314
3,Workshop,High,1201,Medium,High,43,No,Low,450,394
3,Conference,Medium,569,Small,Medium,18,Yes,Low,63,90
1,Conference,High,1084,Medium,High,40,Yes,Medium,229,205
8,Workshop,High,1844,Medium,Medium,47,No,Low,55,181
22,Hackathon,Low,1643,Medium,Low,41,No,Medium,403,508
8,Workshop,Medium,1984,Small,Medium,47,Yes,Low,269,349
11,Conference,Low,1761,Medium,Medium,39,Yes,High,204,324
9,Conference,Medium,698,Medium,Low,20,Yes,Medium,418,403
5,Workshop,High,389,Large,Low,13,Yes,Low,480,419
14,Hackathon,Low,483,Large,Low,45,No,High,356,291
3,Hackathon,Medium,1113,Medium,Low,1,No,Medium,471,511
21,Conference,Medium,706,Medium,Medium,4,No,Medium,70,232
5,Conference,Medium,1400,Small,High,24,Yes,Medium,175,257
5,Hackathon,Medium,1494,Small,Medium,36,No,Medium,169,222
19,Workshop,Medium,920,Small,Medium,36,Yes,Medium,160,255
14,Conference,Low,1572,Medium,Medium,45,Yes,Medium,120,227
4,Hackathon,Low,1485,Small,Medium,2,Yes,Low,497,558
13,Conference,Low,1497,Small,Low,28,Yes,High,46,219
10,Workshop,Medium,969,Large,Medium,26,Yes,Medium,12,97
18,Hackathon,Low,487,Small,Medium,23,No,Low,492,494
8,Conference,High,1013,Small,Low,15,Yes,Medium,22,135
8,Workshop,Medium,935,Small,High,36,Yes,Medium,171,202
7,Conference,Medium,1453,Medium,Medium,27,Yes,Low,353,412
8,Workshop,Medium,716,Medium,Medium,6,Yes,Low,458,470
14,Workshop,Medium,1247,Small,Low,35,No,Low,341,400
19,Hackathon,High,1402,Medium,Medium,39,No,High,273,375
6,Workshop,Low,863,Medium,High,38,No,Medium,92,129
1,Conference,Low,1147,Large,Medium,35,Yes,Medium,274,256
23,Workshop,Medium,1026,Large,Medium,36,No,Low,421,493
15,Workshop,Low,763,Large,Medium,10,No,Medium,343,414
1,Hackathon,Low,512,Medium,Low,30,Yes,Medium,389,314
17,Workshop,Medium,1669,Small,Medium,41,Yes,Medium,228,363
1,Workshop,Low,826,Small,Medium,38,No,High,155,135
15,Conference,Medium,597,Small,Low,29,Yes,Medium,307,304
23,Hackathon,Low,1344,Medium,Low,43,Yes,Medium,306,407
2,Hackathon,High,1502,Large,Medium,39,Yes,Medium,463,443
14,Hackathon,Medium,1857,Medium,Medium,50,Yes,High,170,284
21,Workshop,Medium,717,Small,Low,4,Yes,Low,238,347
8,Hackathon,Medium,1896,Medium,High,5,Yes,Medium,243,409
8,Workshop,High,1077,Large,Medium,4,No,Medium,98,212
19,Workshop,Low,1448,Medium,Medium,36,Yes,Low,342,418
7,Conference,High,1731,Large,Medium,45,No,Low,319,380
19,Conference,Medium,1888,Large,Medium,16,Yes,Medium,224,453
6,Conference,Medium,1279,Large,Medium,25,No,Low,429,457
6,Conference,Medium,1982,Medium,High,14,No,Medium,106,283
3,Conference,Low,1117,Medium,High,11,No,Medium,222,282
7,Workshop,Medium,216,Small,Low,29,No,Medium,363,285
19,Workshop,Medium,160,Small,Medium,34,No,Low,321,301
8,Hackathon,Low,677,Medium,Medium,22,No,High,109,151
10,Workshop,Medium,537,Small,Medium,14,Yes,Low,154,190
20,Workshop,Low,174,Large,High,24,Yes,Medium,19,101
15,Conference,Low,926,Small,Medium,39,No,Low,480,459
15,Workshop,Low,1178,Large,Low,26,Yes,Medium,53,190
1,Conference,Low,1019,Small,Medium,43,No,Low,260,228
20,Hackathon,Medium,46,Small,Low,36,No,Low,395,368
7,Hackathon,Low,342,Large,High,39,Yes,Low,236,183
4,Workshop,High,412,Small,Medium,16,No,Medium,407,351
6,Hackathon,Medium,423,Small,Medium,38,Yes,Medium,258,200
1,Workshop,Low,54,Small,Medium,32,Yes,Low,178,89
5,Hackathon,Medium,1435,Medium,High,6,Yes,High,139,256
23,Conference,High,215,Small,High,34,Yes,Low,28,83
1,Conference,Medium,71,Medium,Medium,8,Yes,Medium,345,254
4,Conference,Low,429,Medium,Medium,30,Yes,Low,244,189
22,Conference,High,877,Medium,Medium,27,Yes,Medium,354,428
2,Workshop,Medium,1501,Medium,Low,7,No,Medium,10,157
10,Hackathon,Low,829,Medium,Low,27,No,Medium,139,170
5,Workshop,Low,28,Small,Low,25,Yes,Low,36,10
10,Conference,Medium,374,Large,Low,46,Yes,Low,11,10
1,Workshop,Low,1333,Small,Medium,41,No,Medium,259,262
22,Hackathon,High,1040,Medium,High,15,No,Low,231,362
6,Workshop,Medium,1794,Medium,Medium,25,Yes,Medium,444,510
13,Hackathon,High,437,Large,Low,22,Yes,Low,147,177
15,Workshop,Medium,1150,Medium,Medium,18,No,Low,284,375
4,Hackathon,Low,589,Small,Medium,12,No,Low,499,456
13,Hackathon,Low,1540,Medium,Low,23,Yes,High,473,574
24,Conference,Medium,555,Medium,High,45,Yes,Medium,150,198
20,Hackathon,Medium,1739,Small,Medium,39,Yes,Medium,441,546
24,Conference,Medium,334,Medium,High,25,No,Low,265,315
15,Conference,Low,64,Medium,Medium,10,Yes,Medium,379,358
8,Conference,Low,787,Large,Medium,30,Yes,Medium,321,326
5,Workshop,Low,1001,Medium,Low,10,Yes,Medium,465,453
15,Workshop,Medium,51,Small,Medium,34,No,Low,449,366
4,Workshop,Low,1330,Small,Medium,46,No,High,443,424
12,Workshop,Medium,240,Large,High,13,No,Medium,104,138
13,Hackathon,Medium,462,Large,High,29,No,High,182,191
2,Hackathon,High,1923,Small,High,38,Yes,Low,482,516
19,Workshop,Medium,403,Small,High,41,No,Low,452,424
19,Hackathon,Low,1555,Medium,High,45,Yes,Low,432,508
4,Hackathon,Medium,1391,Small,Medium,9,No,Medium,414,464
4,Conference,Medium,1477,Small,Medium,13,Yes,Medium,448,505
11,Conference,Medium,1161,Small,Medium,37,Yes,High,66,146
5,Conference,High,700,Small,Medium,14,Yes,High,111,163
20,Conference,High,1438,Medium,High,37,No,Medium,178,327
11,Hackathon,Low,401,Medium,Medium,9,No,Medium,486,440
10,Workshop,Low,1226,Small,Low,8,Yes,Medium,79,221
8,Hackathon,Medium,613,Small,High,39,Yes,Medium,347,284
6,Hackathon,Medium,890,Small,Medium,40,No,Medium,58,110
6,Hackathon,Low,1776,Medium,Low,3,Yes,Medium,437,547
8,Conference,Medium,1111,Small,High,47,No,High,428,407
23,Conference,Medium,94,Medium,High,40,No,Medium,356,329
15,Conference,Low,1063,Medium,Low,33,Yes,High,14,118
14,Workshop,Medium,1758,Small,High,32,Yes,Low,464,544
11,Hackathon,High,58,Small,High,7,Yes,Medium,211,231
12,Workshop,Low,1810,Small,High,19,Yes,Low,211,381
13,Conference,Medium,1178,Medium,High,34,Yes,Low,188,285
8,Workshop,Medium,78,Large,Medium,14,Yes,High,66,73
18,Hackathon,High,1091,Small,Medium,50,Yes,High,195,258
1,Hackathon,High,706,Large,Low,47,No,Medium,101,60
15,Conference,Medium,1607,Small,Low,46,No,High,301,382
8,Conference,Medium,488,Large,Medium,19,Yes,Low,403,363
11,Workshop,Medium,829,Medium,Medium,26,Yes,Low,443,441
12,Conference,Medium,1478,Medium,Low,17,Yes,Medium,492,560
12,Conference,Low,1329,Medium,Medium,28,Yes,High,236,330
4,Hackathon,Low,1711,Medium,Low,19,No,Low,430,499
16,Conference,Low,1204,Large,High,27,Yes,High,121,246
4,Conference,Medium,1608,Medium,Medium,48,No,Medium,157,227
5,Hackathon,Low,156,Medium,Medium,19,Yes,High,278,225
24,Hackathon,High,1517,Small,Medium,33,No,Medium,212,383
5,Workshop,Low,1339,Small,Low,7,Yes,Medium,387,475
8,Conference,Low,1706,Large,High,29,No,Medium,374,465
10,Hackathon,Medium,1686,Medium,Medium,43,No,Medium,412,474
17,Workshop,Medium,1879,Medium,Medium,5,No,Low,357,545
9,Workshop,Low,1025,Medium,Low,30,No,High,367,383
22,Conference,Medium,618,Large,Medium,49,Yes,High,65,113
19,Conference,High,455,Medium,Low,43,No,Low,310,307
14,Workshop,Low,230,Medium,Medium,8,Yes,Low,325,340
8,Hackathon,Medium,1588,Medium,Medium,42,Yes,Medium,461,484
9,Workshop,High,1978,Small,High,12,Yes,Medium,194,384
22,Conference,Low,1837,Small,Medium,42,No,Medium,63,248
11,Hackathon,Medium,1411,Large,Low,13,No,Low,46,223
23,Hackathon,Medium,1653,Small,Low,26,No,Medium,220,413
1,Workshop,Medium,1299,Large,Medium,18,No,Medium,302,340
14,Conference,Low,104,Small,Low,42,Yes,Low,279,218
5,Workshop,Low,271,Small,Low,49,No,Medium,360,247
21,Workshop,Medium,1858,Large,High,20,No,Low,229,449
14,Workshop,Low,906,Medium,Low,16,Yes,Low,237,319
4,Hackathon,Medium,1104,Small,High,37,Yes,Medium,437,407
22,Hackathon,Medium,1987,Medium,Low,3,No,High,367,596
23,Conference,Medium,228,Medium,High,27,No,Low,220,278
1,Conference,High,1566,Medium,Medium,15,No,Medium,307,374
22,Workshop,Medium,101,Small,High,34,No,Low,10,60
23,Workshop,Low,136,Large,Low,45,No,Low,32,79
19,Workshop,High,89,Large,High,22,No,Medium,457,427
8,Conference,Low,1857,Small,High,40,No,Medium,293,391
15,Hackathon,Low,1271,Large,Medium,23,No,Low,397,465
21,Hackathon,Medium,992,Large,Medium,49,Yes,High,434,451
15,Workshop,Medium,1405,Medium,High,4,No,Low,197,380
9,Workshop,Medium,925,Medium,Low,41,Yes,High,27,70
21,Workshop,Low,495,Small,Medium,23,No,High,456,472
9,Workshop,Medium,703,Small,High,47,Yes,Medium,454,387
10,Conference,Low,34,Medium,Medium,9,Yes,Low,58,72
20,Hackathon,High,165,Large,Low,24,Yes,Medium,56,109
21,Workshop,Low,1550,Medium,Medium,21,No,Medium,124,318
9,Conference,High,641,Medium,High,41,Yes,High,48,66
3,Workshop,Medium,1822,Small,Low,46,Yes,Medium,226,299
20,Workshop,High,1563,Small,Medium,16,Yes,Medium,219,415
11,Hackathon,Medium,1976,Medium,Low,25,Yes,High,271,411
6,Workshop,Medium,1743,Small,High,26,Yes,High,220,329
2,Hackathon,Medium,1090,Medium,Low,49,Yes,Medium,62,77
7,Hackathon,Low,1638,Small,Medium,45,Yes,High,469,499
18,Hackathon,Low,28,Medium,Medium,9,Yes,Medium,290,314
2,Conference,High,1417,Small,High,15,Yes,Medium,364,416
17,Conference,High,1898,Medium,High,39,Yes,Medium,330,467
11,Hackathon,Medium,1226,Medium,Low,33,No,Medium,142,232
12,Workshop,Low,246,Small,Medium,1,Yes,Medium,458,440
19,Hackathon,Medium,1420,Small,High,5,Yes,Medium,273,447
22,Workshop,Medium,1459,Small,Medium,9,Yes,Medium,304,496
24,Hackathon,Medium,286,Large,Medium,44,Yes,Medium,120,155
7,Workshop,Medium,1260,Small,High,6,Yes,Medium,52,192
20,Conference,High,754,Medium,High,28,Yes,Medium,347,395
6,Workshop,Low,561,Large,Medium,45,No,Medium,247,171
21,Hackathon,Medium,1356,Medium,Medium,26,No,Low,388,499
24,Conference,Medium,1186,Small,Medium,28,Yes,High,466,558
1,Workshop,Medium,648,Large,Low,40,No,High,398,303
17,Workshop,Low,246,Small,High,15,Yes,Medium,256,273
11,Workshop,Low,1007,Medium,High,6,No,Low,13,145
22,Workshop,High,64,Large,High,27,Yes,High,373,368
18,Workshop,Medium,1469,Medium,Low,38,No,High,358,467
21,Conference,Medium,693,Medium,Medium,4,Yes,Low,394,495
17,Conference,High,118,Small,Medium,11,No,Low,359,349
7,Conference,Medium,1899,Small,Medium,21,Yes,Medium,321,448
17,Conference,Low,1217,Medium,High,30,Yes,Medium,182,286
20,Hackathon,Medium,1984,Small,Low,18,No,Low,202,418
9,Conference,Medium,1401,Large,Medium,35,Yes,Medium,12,120
17,Workshop,Medium,1231,Large,Medium,3,No,Medium,287,439
20,Workshop,Medium,1404,Large,High,12,No,High,465,598
22,Conference,Medium,382,Medium,High,27,Yes,Medium,65,145
22,Workshop,Medium,982,Medium,High,30,Yes,Medium,283,374
8,Conference,High,1530,Large,Medium,21,Yes,High,418,490
17,Workshop,Low,1632,Large,Low,38,No,Low,185,326
7,Hackathon,Low,210,Medium,Medium,21,Yes,Low,125,126
1,Hackathon,Medium,858,Small,Medium,38,Yes,Medium,93,76
13,Conference,Low,518,Small,Medium,40,No,Low,168,171
23,Conference,Low,1355,Medium,Medium,15,Yes,High,295,446
19,Conference,High,284,Medium,Medium,18,No,Low,89,158
24,Workshop,High,220,Large,Medium,29,No,Low,75,142
19,Conference,Medium,513,Small,Low,48,Yes,High,218,224
17,Hackathon,Low,1936,Small,Medium,38,Yes,Medium,19,210
13,Workshop,Low,1151,Small,Medium,21,No,Medium,208,290
16,Conference,Low,712,Small,Medium,17,Yes,Low,68,151
8,Workshop,Low,1587,Small,Medium,41,Yes,Low,243,310
19,Workshop,High,51,Medium,Medium,18,Yes,High,316,313
18,Conference,Low,324,Medium,High,37,No,Medium,253,244
1,Workshop,Medium,797,Medium,High,38,No,Medium,388,332
14,Hackathon,Low,338,Small,Medium,12,Yes,Low,402,393
19,Hackathon,High,1050,Small,Medium,11,Yes,Medium,63,243
15,Workshop,Medium,292,Medium,Medium,48,No,Medium,455,388
18,Conference,High,952,Large,High,49,No,High,346,344
2,Workshop,Medium,267,Small,High,20,Yes,Medium,402,319
22,Hackathon,Medium,584,Large,Medium,9,Yes,Medium,18,161
17,Workshop,Low,583,Small,Medium,1,No,Medium,110,200
18,Workshop,Medium,621,Large,Medium,3,No,Medium,417,465
6,Hackathon,Medium,1052,Large,Medium,21,No,Medium,304,344
19,Workshop,Medium,1562,Small,Medium,23,No,Low,212,395
4,Workshop,Low,846,Medium,Medium,9,No,Low,401,416
1,Conference,Low,432,Small,Medium,19,Yes,High,162,143
8,Conference,Medium,1499,Large,Low,45,No,Low,119,195
23,Hackathon,Medium,1406,Medium,High,46,No,Low,331,445
7,Hackathon,Medium,767,Medium,High,19,No,Medium,275,315
3,Hackathon,Low,772,Medium,Medium,23,Yes,Medium,382,346
10,Conference,Medium,2000,Large,Medium,27,Yes,Medium,161,305
10,Hackathon,Low,1114,Small,Low,27,No,Medium,473,465
19,Hackathon,Low,1584,Medium,Low,39,Yes,High,92,262
14,Hackathon,Medium,1581,Small,Medium,36,Yes,Medium,452,517
2,Conference,Low,433,Small,Medium,12,No,High,424,370
1,Workshop,Low,438,Medium,High,27,Yes,Low,404,300
23,Hackathon,Medium,1421,Small,Medium,46,No,Low,143,272
23,Workshop,Low,1954,Small,Medium,34,No,Medium,335,507
18,Hackathon,Low,1742,Large,Medium,33,Yes,Low,169,335
7,Workshop,Low,1703,Small,Low,28,No,Low,48,184
8,Conference,Low,213,Medium,Low,31,No,Low,185,137
1,Conference,Low,205,Small,High,32,Yes,Medium,22,10
23,Hackathon,Medium,737,Small,High,50,Yes,Medium,324,360
3,Workshop,Low,294,Small,Medium,20,No,Medium,76,68
24,Conference,Low,205,Medium,Medium,40,Yes,Low,449,426
23,Hackathon,Medium,316,Medium,High,35,Yes,Medium,257,273
8,Hackathon,Medium,1697,Small,Low,31,Yes,Low,50,158
22,Conference,High,23,Small,High,31,Yes,Medium,193,199
15,Conference,Medium,1870,Large,Medium,38,Yes,Medium,44,213
5,Hackathon,Medium,1179,Small,Medium,22,No,Medium,431,447
3,Workshop,Medium,1971,Large,Medium,45,No,High,346,432
19,Workshop,Medium,1090,Small,Medium,41,Yes,High,460,497
1,Workshop,Medium,732,Medium,High,9,Yes,Medium,299,327
15,Hackathon,Low,789,Small,Low,9,No,High,85,210
8,Conference,Low,1243,Large,Medium,15,Yes,Medium,481,513
2,Hackathon,Low,538,Medium,Low,13,No,High,79,104
3,Conference,High,807,Medium,High,22,No,Medium,243,264
24,Workshop,Medium,353,Small,Medium,16,No,Medium,20,158
14,Workshop,Medium,1748,Medium,High,32,Yes,Medium,377,477
24,Conference,Medium,1644,Medium,Medium,2,Yes,Low,292,517
14,Conference,Medium,1312,Small,Low,26,Yes,Medium,313,385
11,Hackathon,Low,218,Small,Low,14,Yes,High,33,83
16,Workshop,Low,650,Large,Medium,38,Yes,Medium,283,311
4,Hackathon,High,1368,Small,Medium,34,No,Low,36,118
20,Hackathon,Medium,1321,Medium,Medium,8,No,Medium,63,260
5,Hackathon,Medium,261,Medium,Low,36,No,High,64,34
22,Workshop,High,1298,Large,Medium,21,No,High,385,510
21,Hackathon,Low,280,Large,Medium,46,Yes,Medium,242,235
